구분,태양광,풍력,수력,바이오,폐기물,조류,연료전지,석탄가스화
 ~2012년 100kW미만 발전소수 ,1448,,3,,,,,
 ~2012년 100kW미만 용량(kW) ,75867.609,,151,,,,,
 ~2012년 100kW이상 1MW미만 발전소수 ,180,,12,1,,,,
 ~2012년 100kW이상 1MW미만 용량(kW) ,84238.534,,5890,1625,,,,
 ~2012년 1MW이상 발전소수 ,39,10,23,15,4,,3,
 ~2012년 1MW이상 용량(kW) ,83902.647,95800,646250,351295,421095,,10800,
 2013년 100kW미만 발전소수 ,1616,,2,1,,,,
 2013년 100kW미만 용량(kW) ,94122.843,,75,99,,,,
 2013년 100kW이상 1MW미만 발전소수 ,224,,5,,2,,1,
 2013년 100kW이상 1MW미만 용량(kW) ,120560.774,,3080,,800,,300,
 2013년 1MW이상 발전소수 ,56,6,,13,1,,12,
 2013년 1MW이상 용량(kW) ,175509.145,92000,,298760,24800,,101480,
 2014년 100kW미만 발전소수 ,4964,,2,,,,,
 2014년 100kW미만 용량(kW) ,351765.47,,159,,,,,
 2014년 100kW이상 1MW미만 발전소수 ,436,,12,4,1,,1,
 2014년 100kW이상 1MW미만 용량(kW) ,225095.82,,4025,2330,400,,400,
 2014년 1MW이상 발전소수 ,93,7,3,22,10,,4,
 2014년 1MW이상 용량(kW) ,284585.745,53650,14183,631547,46988,,34400,
 2015년 100kW미만 발전소수 ,6334,,4,,,,,
 2015년 100kW미만 용량(kW) ,517799.305,,155,-6010,,,,
 2015년 100kW이상 1MW미만 발전소수 ,526,,5,6,2,,,
 2015년 100kW이상 1MW미만 용량(kW) ,279216.182,,1710,3565,480,,,
 2015년 1MW이상 발전소수 ,81,14,1,6,7,,4,
 2015년 1MW이상 용량(kW) ,188609.81,226950,1392,95102,31992,,13640,
 2016년 100kW미만 발전소수 ,3300,,2,,,,,
 2016년 100kW미만 용량(kW) ,278538.775,,230,95,,,,
 2016년 100kW이상 1MW미만 발전소수 ,673,,6,4,1,,,
 2016년 100kW이상 1MW미만 용량(kW) ,318855.225,,2550,2750,440,,,
 2016년 1MW이상 발전소수 ,79,8,1,5,5,,1,1
 2016년 1MW이상 용량(kW) ,205851.74,127600,4872,167150,48394,,10725,346330
 2017년 100kW미만 발전소수 ,4174,,3,,,,,
