4. 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1. 지역별 전력거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment in Power Market by Region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,경기,강원,경남,경북,전남,전북,충남,충북,제주,서울,인천,구분,대전,광주,대구,세종,울산,부산,RPS의무이행비용정산금,배출권거래비용정산금,예측제도정산금,전국,[단위 : 억원],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gyeonggi,Gangwon,Gyeongnam,Gyeongbuk,Jeonnam,Jeonbuk,Chungnam,Chungbuk,Jeju,Seoul,Incheon,,Daejeon,Gwangju,Daegu,Sejong,Ulsan,Busan,Renewable Portfolio Standard Payment,Emission Trading Settlement Payment,Power Demand Forecasting Payment,Total,[Unit : 100 Million Won],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001," 8,913 "," 1,916 "," 15,523 "," 15,518 "," 11,351 ", 639 ," 18,553 ", 2 , 750 , 545 ," 8,676 ",2001, - , - , - , - ," 5,485 "," 7,246 ",,,," 95,117 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002," 10,550 "," 2,059 "," 21,349 "," 19,969 "," 17,723 ", 711 ," 28,703 ", 4 ," 1,070 ", 660 ," 12,497 ",2002, - , - , - , - ," 6,735 "," 10,303 ",,,," 132,334 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003," 12,160 "," 2,649 "," 22,073 "," 21,196 "," 20,404 "," 1,010 "," 31,636 ", 102 ," 1,581 ", 720 ," 13,576 ",2003, 125 , - , 83 , - ," 6,673 "," 11,633 ",,,," 145,623 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004," 10,396 "," 2,598 "," 21,882 "," 22,950 "," 20,044 ", 727 ," 33,852 ", 125 ," 1,697 ", 665 ," 16,207 ",2004, 193 , - , 99 , - ," 7,749 "," 17,238 ",,,," 156,422 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005," 12,582 "," 2,588 "," 22,590 "," 26,603 "," 22,086 ", 809 ," 35,513 ", 166 ," 2,107 ", 816 ," 20,832 ",2005, 177 , - , 117 , - ," 8,002 "," 17,639 ",,,," 172,626 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006," 14,869 "," 3,267 "," 19,994 "," 27,346 "," 24,400 ", 785 ," 34,375 ", 821 ," 2,773 "," 1,321 "," 28,418 ",2006, 211 , 0 , 136 , - ," 10,366 "," 20,042 ",,,," 189,125 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007," 17,219 "," 4,139 "," 22,036 "," 28,091 "," 25,685 ", 753 ," 42,675 "," 1,165 "," 3,227 "," 1,777 "," 32,761 ",2007, 241 , 1 , 135 , - ," 10,790 "," 20,877 ",,,," 211,572 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008," 22,482 "," 7,997 "," 27,660 "," 29,889 "," 28,455 "," 1,580 "," 60,260 "," 1,263 "," 4,779 "," 1,787 "," 44,726 ",2008, 311 , 2 , 169 , - ," 11,856 "," 24,783 ",,,," 267,999 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009," 19,540 "," 7,914 "," 34,815 "," 26,546 "," 30,009 "," 1,262 "," 67,621 ", 980 ," 4,463 "," 1,371 "," 44,168 ",2009, 315 , 3 , 188 , - ," 9,708 "," 20,217 ",,,," 269,118 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010," 25,965 "," 10,276 "," 37,423 "," 29,903 "," 34,591 "," 5,328 "," 76,638 "," 1,530 "," 5,106 "," 2,310 "," 53,299 ",2010, 311 , 52 , 193 , - ," 13,574 "," 25,745 ",,,," 322,243 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011," 31,360 "," 13,765 "," 41,187 "," 29,472 "," 35,668 "," 9,358 "," 82,854 "," 2,120 "," 6,789 "," 2,336 "," 67,535 ",2011, 300 , 53 , 276 , - ," 15,938 "," 28,774 ",,,," 367,784 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
